Well Name,Ogrid Name,Well Spud Date,Well Status,Well API,Well Latitude,Well Longitude,Well Cluster,Facility Name,Facility Latitude,Facility Longitude,Facility Industry,Facility AI Number,Facility NOI Number,Date NOI Sent to NMED,Date NMED Received NOI,Date NMED Send Complete NOI To Company,Google Drive Link to NOI,Facility NO_TPY,Facility CO_TPY,Facility VOC_TPY,Facility PM10_TPY,Facility SO2_TPY,Potential Violation
CHACO 2308 24I #156H,"ENDURING RESOURCES, LLC",11/5/2014,Active,30-045-35548,36.209404,-107.6250916,6,"Enduring Resources - Chaco 155,156,153,154",36.209389,-107.625161,O&G-Production Facility,33983,5668,4/23/2014,5/2/2014,5/16/2014,https://drive.google.com/file/d/1p7VQVJ0r2bpINleyLXc_UYpIssGn4ZD4/view?usp=sharing,21.6,24.2,91.4,1.8,,No
HORTON #001B,HILCORP ENERGY COMPANY,11/9/2011,Active,30-045-35252,36.9382133,-107.9533539,46,"Hilcorp - Horton 1A,1B2 Wellsite",36.938222,-107.953361,O&G-Production Facility,36366,6651,10/14/2015,10/19/2015,11/18/2015,https://drive.google.com/file/d/1sCCmm2wFluchVAasVC42FAK6WHBEGlDq/view?usp=sharing,11.3,19.1,8,,,Yes
ROPCO 16 #001H,HILCORP ENERGY COMPANY,5/18/2013,Active,30-045-35455,36.7312965,-108.3094406,72,"Hilcorp - Ropco 16-01, 16-01H & Salty Dog No 5 SWD",36.731111,-108.311111,O&G-Production Facility,32672,5169,5/28/2014,5/30/2014,6/11/2014,https://drive.google.com/file/d/1NBv0Ogw8lgkTJ6iReheRb_WBWsN4Nku6/view?usp=sharing,6.35,11.04,11.41,,,Yes
ROPCO 16 #001H,HILCORP ENERGY COMPANY,5/18/2013,Active,30-045-35455,36.7312965,-108.3094406,72,"Hilcorp - Ropco 16-01, 16-01H & Salty Dog No 5 SWD",36.731111,-108.311111,O&G-Production Facility,32672,5169,6/27/2013,6/28/2013,7/10/2013,https://drive.google.com/file/d/1UtHvbhCtZsZLYPn9dotC-zNMMP4ajZjs/view?usp=sharing,6.35,11.04,11.41,,,Yes
DAY #002C,HILCORP ENERGY COMPANY,1/30/2013,Active,30-045-35221,36.7358093,-107.6828995,74,Hilcorp - Day 2C,36.735833,-107.682778,O&G-Production Facility,32887,5245,8/26/2013,8/27/2013,9/12/2013,https://drive.google.com/file/d/1JRGYOPvuwbJaT5zAbre7KenKokSxO2dd/view?usp=sharing,19.3,15.7,52.5,10.1,10.4,Yes
NEWBERRY #008B,HILCORP ENERGY COMPANY,2/24/2011,Active,30-045-35048,36.908886,-108.097908,43,Hilcorp - Newberry 8A and 8B,36.908889,-108.097778,O&G-Production Facility,35601,6323,3/26/2015,3/31/2015,4/24/2015,https://drive.google.com/file/d/1CHG16dtIypr5dac32oApi57fB56IqPn0/view?usp=sharing,18.3,18.6,10.3,,,Yes
MARTIN GAS COM F #001H,HILCORP ENERGY COMPANY,4/19/2013,Active,30-045-35452,36.5807915,-107.8706055,70,Hilcorp - Martin Gas Com 1 Production Location,36.580833,-107.870556,O&G-Compressor Station,32508,5121,5/6/2013,5/7/2013,5/13/2013,https://drive.google.com/file/d/1vbuMIeAv_KFQJionPsIBR4930z7TaYOs/view?usp=sharing,11.3,18.6,63.9,,,Yes
CANYON #019H,HILCORP ENERGY COMPANY,3/12/2013,Active,30-045-35387,36.427536,-107.9659882,157,Hilcorp - Canyon 19H Production Location,36.427556,-107.965944,O&G-Production Facility,32433,5107,,4/10/2013,5/10/2013,https://drive.google.com/file/d/1z0s-optGoKI1uG787jbUz52vynioAUT8/view?usp=sharing,1.2,18.5,63.9,,,Yes
TOMMY BOLACK #001P,HILCORP ENERGY COMPANY,3/4/2013,Active,30-045-35436,36.8391151,-108.0540009,14,Hilcorp - Tommy Bolack 1P,36.839,-108.053361,O&G-Well Head,32123,4978,,12/10/2012,1/7/2013,https://drive.google.com/file/d/1xygTqopdj5ODnR0uF1Gth6jbpjLNn8oj/view?usp=sharing,,,,,,No
HUGHES A #006N,HILCORP ENERGY COMPANY,10/11/2012,Active,30-045-35360,36.6921272,-107.6884613,29,Hilcorp - Hughes A 6N and Hardie 2E,36.692222,-107.687778,O&G-Production Facility,31878,4896,9/20/2012,9/21/2012,10/12/2012,https://drive.google.com/file/d/1jlkAxW8yHRCM0BiexDD0eSdJJKu89WFz/view?usp=sharing,,,,,,Yes
YAGER LS #001M,HILCORP ENERGY COMPANY,2/25/2013,Active,30-045-35445,36.8524284,-108.0365601,141,Hilcorp - Yager LS 1M/Grenier23/Thurston Com 100,36.851667,-108.036111,O&G-Production Facility,31880,4894,9/20/2012,9/21/2012,10/12/2012,https://drive.google.com/file/d/1ac_2bASISBzpyskYRcCC4GemZgwr2iAL/view?usp=sharing,,,,,,No
ALLISON UNIT #152H,HILCORP ENERGY COMPANY,5/9/2018,Active,30-045-35559,36.9706421,-107.4689102,23,Hilcorp - Allison 110H/152H CDP,36.970556,-107.469167,O&G-Compressor Station,39167,8483,8/29/2019,9/9/2019,11/13/2019,https://drive.google.com/file/d/1DUsqaz1AmqFl1ZT4HU3lZvO6ocaEH78Z/view?usp=sharing,24.3,18.9,28.7,,,Yes
